question_image,correct_answer,explanation
https://www.indiabix.com/_files/images/puzzles/10-1-q-2.png,5:19,"Starting with the watch on the left, add 42 minutes to the time shown to give the time on the next watch to the right."
https://www.indiabix.com/_files/images/puzzles/10-1-q-16.png,Hand pointing to 5,"Starting with the top clock and moving anti-clockwise around the others, the hour hand moves back 1 hour, then 2, then 3 etc, while the minute hand moves forward 10 minutes each time."
https://www.indiabix.com/_files/images/puzzles/10-3-q-16.png,9 of Clubs,"Taking red cards as positive values and black cards as negative values, in each column of the diagram, the lower card value equals the sum of the two upper card values. The suits are used  alternately in each column."
https://www.indiabix.com/_files/images/puzzles/10-3-q-19.png,To the 4,"Start with the top left clockface, and move around the others in a clockwise direction. The value pointed to by the hour hand equals the value pointed to by the minute hand, subtracting 4 for the first clockface, 5 for the next, then 6 etc."
https://www.indiabix.com/_files/images/puzzles/10-5-q-2.png,5:23,The sum of the separate digits on each watch increases by 2 as you move to the right.
https://www.indiabix.com/_files/images/puzzles/10-19-q-2.png,3:36,"On each watch, the time shown contains two digits that are the same."
https://www.indiabix.com/_files/images/puzzles/10-19-q-16.png,To the 8,"Start with the top clockface and move clockwise around the others. The sum of the numbers pointed to by the 2 hands follows the sequence 5, 10, 15, 20."
https://www.indiabix.com/_files/images/puzzles/10-7-q-2.png,7:05,"As you move from left to right, the time shown on each watch decreases by 12 minutes, then 24, 36 and 48."
https://www.indiabix.com/_files/images/puzzles/10-7-q-16.png,Hour hand points to 8,"Starting with the top clockface, and moving clockwise around the others, the minute hand moves forward 15 minutes, while the hour hand moves back 2 hours each time."
https://www.indiabix.com/_files/images/puzzles/10-5-q-16.png,Hour hand is pointing to 2.,Multiply the hour hand value by 2 and add the minute hand value. This  total is always 15.
https://www.indiabix.com/_files/images/puzzles/10-6-q-19.png,Five minutes to Ten,"Start with the top left clockface, and move around the others clockwise. The minute hand moves backwards by 15 minutes, then 20, then 25 etc, while the hour hand moves forward 2 hours, then 3, then 4 etc."
https://www.indiabix.com/_files/images/puzzles/10-18-q-16.png,Nine of Clubs,"In each column of the diagram, add the top and bottom card values together and subtract 2 to give the value of the central card."
https://www.indiabix.com/_files/images/puzzles/10-15-q-19.png,To the 2,"Starting with the top left clockface and moving clockwise around the others, the minute hand moves back 2 places, then 4, 6 and 8, while the hour hand moves forward 2 places, then 4, 6 and 8."
https://www.indiabix.com/_files/images/puzzles/10-17-q-2.png,6:45,"As you move from left to right, add 1 to the value of each digit on the watch, and rotate the digits one place to the left."
https://www.indiabix.com/_files/images/puzzles/10-9-q-19.png,To the 5,"Start with the top left clockface, and move around the others in a clockwise direction. The sum of the numbers pointed to by the hour and minute hand follows the sequence 14, 15, 16, 17 and 18."
https://www.indiabix.com/_files/images/puzzles/10-11-q-2.png,6:20,"On each watch, the sum of the digits shown equals 8."
https://www.indiabix.com/_files/images/puzzles/10-14-q-3.png,To the 4,The sum of the numbers pointed to by the hour and minute hands is always 11.
https://www.indiabix.com/_files/images/puzzles/10-14-q-28.png,6:06,"Start with the watch on the left and move to the right. The time on the watches increases by 2 hours 3 min- utes, then decreases by 1 hour 16 min- utes, alternately."
https://www.indiabix.com/_files/images/puzzles/10-11-q-16.png,The hour hand points to the 4.,The sum of the values pointed to by the hands on each clock equals 12.
https://www.indiabix.com/_files/images/puzzles/10-12-q-19.png,To the 6,"Starting with the top left clockface and working clockwise around the others, the sum of the numbers pointed to by the 2 hands starts at 3 and increases by 2 each time."
https://www.indiabix.com/_files/images/puzzles/10-15-q-16.png,3 of SpadeS,"Divide the diagram in half, vertically. In each half, start at the top left card and move to the right, then down one row and to the left, and finally to the right, in a snakes and ladders pattern. The value of the cards in the left hand half increase alternately by 3 and 4, and the value of the cards in the right hand half increase alternately by 4 and 5. To calculate the suit of each card, start at the top left of the whole diagram and move down, then to the right one space and upwards etc. in a snakes and ladders pattern. Suits are written in order, following this path, starting with Hearts, then Clubs, Diamonds and Spades."
