question_image,correct_answer,explanation
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-51.png,D,"<p><img src=""https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-51a.png""></p>"
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-9.png,D,<p>(5 + 4 + 7)/2 = <b>8</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-45.png,C,<p>(12 + 18 + 30)/10 = <b>6</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-26.png,C,<p>(5 x 3) + 4 = <b>19</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-50.png,A,"<p>(<b>15</b> x 2 - 3) = 27,</p>"
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-36.png,B,<p>(5 x 6 x 8) + (7 x 4 x 9) = <b>492</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-18.png,D,<p>21 + 31 = <b>52</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-29.png,B,<p>(18 x 12)/3 = <b>72</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-19.png,C,<p>(0 + 2 + 6 + 4) - 2 = <b>10</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-24.png,B,"<p>(1)<sup>3</sup> = <b>1</b>, (2)<sup>3</sup> = <b>8</b>, (3)<sup>3</sup> = <b>27</b></p>"
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-40.png,C,<p>(6 + 5) - (7 + 4) = <b>0</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-46.png,A,<p>The numbers are squared in ascending order</p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-8.png,C,<p>(4 x 6) % 3 = <b>8</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-34.png,B,<p>(7 x 3) + 8 = <b>29</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-32.png,A,<p>(4)<sup>2</sup> + (2)<sup>2</sup> + (1)<sup>2</sup> = <b>21</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-54.png,D,<p>Sum of numbers in lower half of the circle = 11 + 9 + 3 + 7 = 30</p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-57.png,B,<p>915 - 364 = <b>551</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-55.png,C,
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-39.png,A,<p>(12)<sup>2</sup> - (8)<sup>2</sup> = <b>80</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-30.png,D,<p>(2)<sup>3</sup> + (1)<sup>3</sup> + (3)<sup>3</sup> = <b>36</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-38.png,C,<p>(5 x 6 x 4)/10 = <b>12</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-52.png,C,<p>13 + 15 = <b>28</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-12.png,D,<p>(3 x 4 - 8) = <b>4</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-42.png,C,
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-27.png,C,<p>(3 x 3) + (5 x 6) = <b>39</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-28.png,D,<p>93 - (27 + 3) = <b>63</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-56.png,B,<p>Putting the position of the letters in reverse order</p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-22.png,A,<p>5 x 8 x 10 = <b>400</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-20.png,C,<p>(16)<sup>2</sup> = <b>256</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-1.png,D,"<p>From I row, 1 + (1/2) = <b>3/2</b></p>"
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-59.png,B,<p>1 + 2 + 3 + 4 = <b>10</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-6.png,C,<p>(4 + 8) x 9 = <b>108</b></p>
,,
